Bramble hairstreak, Callophrys dumetorum
Sheridan's hairstreak, Callophrys sheridanii
Xami hairstreak, Callophrys xami
Sandia hairstreak, Callophrys mcfarlandi
Brown elfin, Callophrys augustinus
Desert elfin, Callophrys fotis
Moss's elfin, Callophrys mossii
Hoary elfin, Callophrys polios
Frosted elfin, Callophrys irus
Henry's elfin, Callophrys henrici
Bog elfin, Callophrys lanoraieensis
Eastern pine elfin, Callophrys niphon
Western pine elfin, Callophrys eryphon
Thicket hairstreak, Callophrys spinetorum
Johnson's hairstreak, Callophrys johnsoni
Juniper hairstreak, Callophrys gryneus
Hessel's hairstreak, Callophrys hesseli
Aquamarine hairstreak, Oenomaus ortygnus
Broken-M hairstreak, Parrhasius polibetes
White M hairstreak, Parrhasius m-album
Mexican-M hairstreak, Parhassius moctezuma
Gray hairstreak, Strymon melinus
Avalon scrub-hairstreak, Strymon avalona
Red-crescent scrub-hairstreak, Strymon rufofusca
Red-lined scrub-hairstreak, Strymon bebrycia
Martial scrub-hairstreak, Strymon martialis
Yojoa scrub-hairstreak, Strymon yojoa
White scrub-hairstreak, Strymon albata
Bartram's scrub-hairstreak, Strymon acis
Lacey's scrub-hairstreak, Strymon alea
Mallow scrub-hairstreak, Strymon istapa
Disguised scrub-hairstreak, Strymon limenia
Tailless scrub-hairstreak, Strymon cestri
Lantana scrub-hairstreak, Strymon bazochii
Bromeliad scrub-hairstreak, Strymon serapio
Confusing scrub-hairstreak, Strymon megarus
Orange-crescent groundstreak, Ziegleria guzanta
Ruddy hairstreak, Electrostrymon sangala
Fulvous hairstreak, Electrostrymon angelia
Muted hairstreak, Electrostrymon canus
Red-banded hairstreak, Calycopis cecrops
Dusky-blue groundstreak, Calycopis isobeon
Susanna's groundstreak, Calycopis origo
Red-spotted hairstreak, Tmolus echion
Pearly-gray hairstreak, Siderus tephraeus
Leda ministreak, Ministrymon leda
Clytie ministreak, Ministrymon clytie
Red-flocked ministreak, Ministrymon phrutus
Gray ministreak, Ministrymon azia
Vicroy's ministreak, Ministrymon janevicroy
Sonoran hairstreak, Hypostrymon critola
Early hairstreak, Erora laeta
Arizona hairstreak, Erora quaderna
Western pygmy blue, Brephidium exile
Eastern pygmy blue, Brephidium isophthalma
Cassius blue, Leptotes cassius
Marine blue, Leptotes marina
Pea blue, Lampides boeticus
Cyna blue, Zizula cyna
Lesser grass-blue, Zizina otis
Miami blue, Cyclargus thomasi
Nickerbean blue, Cyclargus ammon
Ceraunus blue, Hemiargus ceraunus
Reakirt's blue, Hemiargus isola
Eastern tailed-blue, Everes comyntas
Western tailed-blue, Everes amyntula
Spring azure, Celastrina ladon
Summer azure, Celastrina neglecta
Holly azure, Celastrina idella
Hops azure, Celastrina humulus
Cherry gall azure, Celastrina serotina
Northern azure, Celastrina lucia
Echo azure, Celastrina echo
Appalachian azure, Celastrina neglectamajor
Dusky azure, Celastrina nigra
Hawaiian blue, Vaga blackburni
Sonoran blue, Philotes sonorensis
Square-spotted blue, Euphilotes battoides
Dotted blue, Euphilotes enoptes
Rita blue, Euphilotes rita
Spalding's blue, Euphilotes spaldingi
Small blue, Philotiella speciosa
Arrowhead blue, Glaucopsyche piasus
Silvery blue, Glaucopsyche lygdamus
Northern blue, Lycaeides idas
Melissa blue, Lycaeides melissa
Greenish blue, Plebejus saepiolus
San Emigdio blue, Plebejus emigdionis
Boisduval's blue, Plebejus icarioides
Shasta blue, Plebejus shasta
Acmon blue, Plebejus acmon
Lupine blue, Plebejus lupinus
Veined blue, Plebejus neurona
Cranberry blue, Vacciniina optilete
Arctic blue, Agriades glandon
Heather blue, Agriades cassiope
Little metalmark, Calephelis virginiensis
Northern metalmark, Calephelis borealis
Fatal metalmark, Calephelis nemesis
Rounded metalmark, Calephelis perditalis
Wright's metalmark, Calephelis wrighti
Swamp metalmark, Calephelis mutica
Rawson's metalmark, Calephelis rawsoni
Arizona metalmark, Calephelis arizonensis
Red-bordered metalmark, Caria ino
Blue metalmark, Lasaia sula
Black-patched bluemark, Lasaia agesilas
Gray bluemark, Lasaia maria
Red-bordered pixie, Melanis pixe
Common jewelmark, Sarota chrysus
Carousing jewelmark, Anteros carausius
Zela metalmark, Emesis zela
Ares metalmark, Emesis ares
Veracruz tanmark, Emesis vulpina
Curve-winged metalmark, Emesis emesia
Falcate metalmark, Emesis tenedia
Mormon metalmark, Apodemia mormo
Narrow-winged metalmark, Apodemia multiplaga
Hepburn's metalmark, Apodemia hepburni
Palmer's metalmark, Apodemia palmeri
Walker's metalmark, Apodemia walkeri
Crescent metalmark, Apodemia phyciodoides
Nais metalmark, Apodemia nais
Sealpoint metalmark, Apodemia hypoglauca
Gulf fritillary, Agraulis vanillae
Mexican silverspot, Dione moneta
Banded orange heliconian, Dryadula phaetusa
Julia heliconian, Dryas iulia
Least heliconian, Euiedes aliphera
Isabella's heliconian, Eueides isabella
Zebra heliconian, Heliconius charithonia
Erato heliconian, Heliconius erato
Tiger heliconian, Heliconius ismenius
Variegated fritillary, Euptoieta claudia
Mexican fritillary, Euptoieta hegesia
Diana fritillary, Speyeria diana
Great spangled fritillary, Speyeria cybele
Aphrodite fritillary, Speyeria aphrodite
Regal fritillary, Speyeria idalia
Nokomis fritillary, Speyeria nokomis
Edward's fritillary, Speyeria edwardsi
Coronis fritillary, Speyeria coronis
Zerene fritillary, Speyeria zerene
Callippe fritillary, Speyeria callippe
Great Basin fritillary, Speyeria egleis
Unsilvered fritillary, Speyeria adiaste
Atlantis fritillary, Speyeria atlantis
Hydaspe fritillary, Speyeria hydaspe
Mormon fritillary, Speyeria mormonia
Mountain fritillary, Boloria napaea
Bog fritillary, Boloria eunomia
Silver-bordered fritillary, Boloria selene
Meadow fritillary, Boloria bellona
Frigga fritillary, Boloria frigga
Dingy fritillary, Boloria improba
Relict fritillary, Boloria kriemhild
Pacific fritillary, Boloria epithore
Polaris fritillary, Boloria polaris
Freija fritillary, Boloria freija
Alberta fritillary, Boloria alberta
Astarte fritillary, Boloria astarte
Purplish fritillary, Boloria montinus
Arctic fritillary, Boloria chariclea
Cryptic fritillary, Boloria natazhati
Dotted checkerspot, Poladryas minuta
Arachne checkerspot, Poladryas arachne
Theona checkerspot, Thessalia theona
Chinati checkerspot, Thessalia chinatiensis
Black checkerspot, Thessalia cyneas
Fulvia checkerspot, Thessalia fulvia
Leanira checkerspot, Thessalia leanira
California patch, Chlosyne californica
Bordered patch, Chlosyne lacinia
Definite patch, Chlosyne definita
Banded patch, Chlosyne endeis
Crimson patch, Chlosyne janais
Rosita patch, Chlosyne rosita
Red-spotted patch, Chlosyne melitaeoides
Gorgone checkerspot, Chlosyne gorgone
Silvery checkerspot, Chlosyne nycteis
Harris's checkerspot, Chlosyne harrisii
Nuevo León checkerspot, Chlosyne kendallorum
Northern checkerspot, Chlosyne palla
Rockslide checkerspot, Chlosyne whitneyi
Sagebrush checkerspot, Chlosyne acastus
Gabb's checkerspot, Chlosyne gabbii
Hoffmann's checkerspot, Chlosyne hoffmanni
Elf, Microtia elva
Tiny checkerspot, Dymasia dymas
Elada checkerspot, Texola elada
Smudged crescent, Castilia eranites
Texan crescent, Phyciodes texana
Cuban crescent, Phyciodes frisia
Pale-banded crescent, Phyciodes tulcis
Orange-patched crescent, Phyciodes drusilla
Ardent crescent, Phyciodes ardys
Black crescent, Phyciodes ptolyca
Pine crescent, Phyciodes sitalces
Chestnut crescent, Phyciodes argentea
Vesta crescent, Phyciodes vesta
Phaon crescent, Phyciodes phaon
Pearl crescent, Phyciodes tharos
Northern crescent, Phyciodes cocyta
Tawny crescent, Phyciodes batesii
Field crescent, Phyciodes campestris
Painted crescent, Phyciodes picta
California crescent, Phyciodes orseis
Pale crescent, Phyciodes pallida
Mylitta crescent, Phyciodes mylitta
Gillett's checkerspot, Euphydryas gillettii
Variable checkerspot, Euphydryas chalcedona
Edith's checkerspot, Euphydryas editha
Baltimore checkerspot, Euphydryas phaeton
Question mark, Polygonia interrogationis
Eastern comma, Polygonia comma
Satyr comma, Polygonia satyrus
Green comma, Polygonia faunus
